Options in 'main-linux-arm64-working' (PKG/CArchive):
 pyi-contents-directory _internal
Contents of 'main-linux-arm64-working' (PKG/CArchive):
 length, uncompressed_length, is_compressed, typecode, name
 8474, 67640, 1, 'b', 'lib/libXfixes.so.3'
 28713, 67888, 1, 'b', 'lib/libXi.so.6'
 16743, 43200, 1, 'b', 'lib/libXrandr.so.2'
 16953, 43408, 1, 'b', 'lib/libXrender.so.1'
 418790, 1116648, 1, 'b', 'lib/libasound.so.2'
 51986, 198584, 1, 'b', 'lib/libatk-1.0.so.0'
 85015, 264344, 1, 'b', 'lib/libatspi.so.0'
 159544, 396248, 1, 'b', 'lib/libblkid.so.1'
 37666, 133944, 1, 'b', 'lib/libbsd.so.0'
 767090, 1651408, 1, 'b', 'lib/libc.so.6'
 19250, 67704, 1, 'b', 'lib/libcap.so.2'
 145847, 395336, 1, 'b', 'lib/libdbus-1.so.3'
 1652, 67528, 1, 'b', 'lib/libdl.so.2'
 37436, 133896, 1, 'b', 'lib/libdrm.so.2'
 62965, 198712, 1, 'b', 'lib/libexpat.so.1'
 17337, 68000, 1, 'b', 'lib/libffi.so.8'
 3524, 67584, 1, 'b', 'lib/libfreebl3.so'
 315674, 591968, 1, 'b', 'lib/libfreeblpriv3.so'
 27289, 68480, 1, 'b', 'lib/libgbm.so.1'
 41385, 133448, 1, 'b', 'lib/libgcc_s.so.1'
 462147, 1000296, 1, 'b', 'lib/libgcrypt.so.20'
 743238, 2100616, 1, 'b', 'lib/libgio-2.0.so.0'
 507115, 1314544, 1, 'b', 'lib/libglib-2.0.so.0'
 5562, 67584, 1, 'b', 'lib/libgmodule-2.0.so.0'
 150735, 462704, 1, 'b', 'lib/libgobject-2.0.so.0'
 68717, 198640, 1, 'b', 'lib/libgpg-error.so.0'
 70755, 199056, 1, 'b', 'lib/liblz4.so.1'
 94690, 198584, 1, 'b', 'lib/liblzma.so.5'
 280784, 591960, 1, 'b', 'lib/libm.so.6'
 21088, 67704, 1, 'b', 'lib/libmd.so.0'
 181540, 461432, 1, 'b', 'lib/libmount.so.1'
 110100, 266608, 1, 'b', 'lib/libnspr4.so'
 515652, 1381616, 1, 'b', 'lib/libnss3.so'
 207581, 631064, 1, 'b', 'lib/libnssckbi.so'
 73024, 198880, 1, 'b', 'lib/libnssutil3.so'
 225221, 592440, 1, 'b', 'lib/libpcre2-8.so.0'
 7938, 67600, 1, 'b', 'lib/libplc4.so'
 5505, 67632, 1, 'b', 'lib/libplds4.so'
 1776, 67528, 1, 'b', 'lib/libpthread.so.0'
 79143, 198800, 1, 'b', 'lib/libselinux.so.1'
 76290, 199144, 1, 'b', 'lib/libsmime3.so'
 910, 899, 1, 'b', 'lib/libsoftokn3.chk'
 143254, 398632, 1, 'b', 'lib/libsoftokn3.so'
 179867, 462096, 1, 'b', 'lib/libssl3.so'
 352371, 923696, 1, 'b', 'lib/libsystemd.so.0'
 81794, 199104, 1, 'b', 'lib/libudev.so.1'
 34043, 134656, 1, 'b', 'lib/libwayland-server.so.0'
 50677, 199544, 1, 'b', 'lib/libxcb.so.1'
 125240, 330360, 1, 'b', 'lib/libxkbcommon.so.0'
 59452, 133520, 1, 'b', 'lib/libz.so.1'
 295014, 657352, 1, 'b', 'lib/libzstd.so.1'
 757782, 1329712, 1, 'b', 'libX11.so.6'
 4675, 14416, 1, 'b', 'libXau.so.6'
 3491, 14264, 1, 'b', 'libXcomposite.so.1'
 3902, 67536, 1, 'b', 'libXdamage.so.1'
