Options in 'main-linux-arm64' (PKG/CArchive):
 pyi-contents-directory _internal
Contents of 'main-linux-arm64' (PKG/CArchive):
 position, length, uncompressed_length, is_compressed, typecode, name
 6747144, 225221, 592440, 1, 'b', 'lib/libpcre2-8.so.0'
 6972365, 7938, 67600, 1, 'b', 'lib/libplc4.so'
 6980303, 5505, 67632, 1, 'b', 'lib/libplds4.so'
 6985808, 79143, 198800, 1, 'b', 'lib/libselinux.so.1'
 7064951, 76290, 199144, 1, 'b', 'lib/libsmime3.so'
 7141241, 143254, 398632, 1, 'b', 'lib/libsoftokn3.so'
 7284495, 179867, 462096, 1, 'b', 'lib/libssl3.so'
 7464362, 352371, 923696, 1, 'b', 'lib/libsystemd.so.0'
 7816733, 81794, 199104, 1, 'b', 'lib/libudev.so.1'
 7898527, 34043, 134656, 1, 'b', 'lib/libwayland-server.so.0'
 7932570, 50677, 199544, 1, 'b', 'lib/libxcb.so.1'
 7983247, 125240, 330360, 1, 'b', 'lib/libxkbcommon.so.0'
 8108487, 59452, 133520, 1, 'b', 'lib/libz.so.1'
 8167939, 295014, 657352, 1, 'b', 'lib/libzstd.so.1'
 8462953, 757782, 1329712, 1, 'b', 'libX11.so.6'
 9220735, 4675, 14416, 1, 'b', 'libXau.so.6'
 9225410, 3491, 14264, 1, 'b', 'libXcomposite.so.1'
 9228901, 3902, 67536, 1, 'b', 'libXdamage.so.1'
 9232803, 7656, 22576, 1, 'b', 'libXdmcp.so.6'
 9240459, 27283, 134696, 1, 'b', 'libXext.so.6'
 9267742, 8474, 67640, 1, 'b', 'libXfixes.so.3'
 9276216, 28713, 67888, 1, 'b', 'libXi.so.6'
 9304929, 16743, 43200, 1, 'b', 'libXrandr.so.2'
 9321672, 16953, 43408, 1, 'b', 'libXrender.so.1'
 9338625, 418790, 1116648, 1, 'b', 'libasound.so.2'
 9757415, 51986, 198584, 1, 'b', 'libatk-1.0.so.0'
 9809401, 69559, 267672, 1, 'b', 'libatk-bridge-2.0.so.0'
 9878960, 85015, 264344, 1, 'b', 'libatspi.so.0'
 9963975, 25885, 67672, 1, 'b', 'libavahi-client.so.3'
 9989860, 21387, 67784, 1, 'b', 'libavahi-common.so.3'
 10011247, 159544, 396248, 1, 'b', 'libblkid.so.1'
 10170791, 62367, 133232, 1, 'b', 'libbrotlicommon.so.1'
 10233158, 20906, 67688, 1, 'b', 'libbrotlidec.so.1'
 10254064, 37666, 133944, 1, 'b', 'libbsd.so.0'
 10291730, 34250, 70504, 1, 'b', 'libbz2.so.1.0'
 10325980, 551326, 1183080, 1, 'b', 'libcairo.so.2'
 10877306, 19250, 67704, 1, 'b', 'libcap.so.2'
 10896556, 5167, 67432, 1, 'b', 'libcom_err.so.2'
 10901723, 1741524, 4532392, 1, 'b', 'libcrypto.so.3'
 12643247, 269513, 657288, 1, 'b', 'libcups.so.2'
 12912760, 13528, 67432, 1, 'b', 'libdatrie.so.1'
 12926288, 145847, 395336, 1, 'b', 'libdbus-1.so.3'
 13072135, 62965, 198712, 1, 'b', 'libexpat.so.1'
 13135100, 17337, 68000, 1, 'b', 'libffi.so.8'
 13152437, 142552, 330656, 1, 'b', 'libfontconfig.so.1'
 13294989, 401945, 788568, 1, 'b', 'libfreetype.so.6'
 13696934, 19380, 108720, 1, 'b', 'libfribidi.so.0'
 13716314, 27289, 68480, 1, 'b', 'libgbm.so.1'
 13743603, 41385, 133448, 1, 'b', 'libgcc_s.so.1'
 13784988, 462147, 1000296, 1, 'b', 'libgcrypt.so.20'
 14247135, 743238, 2100616, 1, 'b', 'libgio-2.0.so.0'
 14990373, 507115, 1314544, 1, 'b', 'libglib-2.0.so.0'
 15497488, 5562, 67584, 1, 'b', 'libgmodule-2.0.so.0'
 15503050, 257244, 529184, 1, 'b', 'libgmp.so.10'
 15760294, 979208, 2303440, 1, 'b', 'libgnutls.so.30'
 16739502, 150735, 462704, 1, 'b', 'libgobject-2.0.so.0'
 16890237, 68717, 198640, 1, 'b', 'libgpg-error.so.0'
 16958954, 76289, 137328, 1, 'b', 'libgraphite2.so.3'
 17035243, 141095, 334904, 1, 'b', 'libgssapi_krb5.so.2'
 17176338, 490721, 1052200, 1, 'b', 'libharfbuzz.so.0'
 17667059, 196492, 329656, 1, 'b', 'libhogweed.so.6'
 17863551, 102371, 198664, 1, 'b', 'libidn2.so.0'
 17965922, 86106, 199352, 1, 'b', 'libk5crypto.so.3'
 18052028, 6799, 67432, 1, 'b', 'libkeyutils.so.1'
 18058827, 354910, 928736, 1, 'b', 'libkrb5.so.3'
 18413737, 22306, 68576, 1, 'b', 'libkrb5support.so.0'
 18436043, 70755, 199056, 1, 'b', 'liblz4.so.1'
 18506798, 94690, 198584, 1, 'b', 'liblzma.so.5'
 18601488, 21088, 67704, 1, 'b', 'libmd.so.0'
 18622576, 181540, 461432, 1, 'b', 'libmount.so.1'
 18804116, 162048, 329736, 1, 'b', 'libnettle.so.8'
 18966164, 110100, 266608, 1, 'b', 'libnspr4.so'
 19076264, 515652, 1381616, 1, 'b', 'libnss3.so'
 19591916, 73024, 198880, 1, 'b', 'libnssutil3.so'
 19664940, 271393, 1351264, 1, 'b', 'libp11-kit.so.0'
 19936333, 180277, 462192, 1, 'b', 'libpango-1.0.so.0'
 20116610, 225221, 592440, 1, 'b', 'libpcre2-8.so.0'
 20341831, 217340, 657360, 1, 'b', 'libpixman-1.so.0'
 20559171, 7938, 67600, 1, 'b', 'libplc4.so'
 20567109, 5505, 67632, 1, 'b', 'libplds4.so'
 20572614, 106135, 264040, 1, 'b', 'libpng16.so.16'
 20678749, 2537318, 7670720, 1, 'b', 'libpython3.11.so.1.0'
 23216067, 79143, 198800, 1, 'b', 'libselinux.so.1'
 23295210, 76290, 199144, 1, 'b', 'libsmime3.so'
 23371500, 708578, 1458912, 1, 'b', 'libsqlite3.so.0'
 24080078, 267001, 737192, 1, 'b', 'libssl.so.3'
 24347079, 710610, 2174296, 1, 'b', 'libstdc++.so.6'
 25057689, 352371, 923696, 1, 'b', 'libsystemd.so.0'
 25410060, 38092, 133048, 1, 'b', 'libtasn1.so.6'
 25448152, 14845, 40880, 1, 'b', 'libthai.so.0'
 25462997, 81794, 199104, 1, 'b', 'libudev.so.1'
 25544791, 676140, 1771448, 1, 'b', 'libunistring.so.2'
 26220931, 14764, 67576, 1, 'b', 'libuuid.so.1'
 26235695, 14619, 67784, 1, 'b', 'libxcb-render.so.0'
 26250314, 3684, 67576, 1, 'b', 'libxcb-shm.so.0'
 26253998, 125240, 330360, 1, 'b', 'libxkbcommon.so.0'
 26379238, 59452, 133520, 1, 'b', 'libz.so.1'
 26438690, 295014, 657352, 1, 'b', 'libzstd.so.1'
 26733704, 42145666, 119560320, 1, 'b', 'playwright/driver/node'
 68879370, 134505383, 427785632, 1, 'b', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/chrome'
 203384753, 2135, 5061, 1, 'b', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/chrome-wrapper'
 203386888, 791672, 2300024, 1, 'b', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/chrome_crashpad_handler'
 204178560, 8679, 25096, 1, 'b', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/chrome_sandbox'
 204187239, 120661, 414624, 1, 'b', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/libEGL.so'
 204307900, 2875890, 9094896, 1, 'b', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/libGLESv2.so'
 207183790, 7913165, 24119600, 1, 'b', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/libvk_swiftshader.so'
 215096955, 246984, 836664, 1, 'b', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/libvulkan.so.1'
 215343939, 9667, 37394, 1, 'b', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/xdg-mime'
 215353606, 8462, 33273, 1, 'b', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/xdg-settings'
 215362068, 90446642, 278032232, 1, 'b', 'playwright/driver/package/.local-browsers/chromium_headless_shell-1187/chrome-linux/headless_shell'
 305808710, 120661, 414624, 1, 'b', 'playwright/driver/package/.local-browsers/chromium_headless_shell-1187/chrome-linux/libEGL.so'
 305929371, 2875890, 9094896, 1, 'b', 'playwright/driver/package/.local-browsers/chromium_headless_shell-1187/chrome-linux/libGLESv2.so'
 308805261, 7913165, 24119600, 1, 'b', 'playwright/driver/package/.local-browsers/chromium_headless_shell-1187/chrome-linux/libvk_swiftshader.so'
 316718426, 246984, 836664, 1, 'b', 'playwright/driver/package/.local-browsers/chromium_headless_shell-1187/chrome-linux/libvulkan.so.1'
 316965410, 1701850, 3367792, 1, 'b', 'playwright/driver/package/.local-browsers/ffmpeg-1011/ffmpeg-linux'
 318667260, 590, 1214, 1, 'b', 'playwright/driver/package/bin/reinstall_chrome_beta_linux.sh'
 318667850, 260, 563, 1, 'b', 'playwright/driver/package/bin/reinstall_chrome_beta_mac.sh'
 318668110, 590, 1209, 1, 'b', 'playwright/driver/package/bin/reinstall_chrome_stable_linux.sh'
 318668700, 258, 519, 1, 'b', 'playwright/driver/package/bin/reinstall_chrome_stable_mac.sh'
 318668958, 696, 1491, 1, 'b', 'playwright/driver/package/bin/reinstall_msedge_beta_linux.sh'
 318669654, 245, 377, 1, 'b', 'playwright/driver/package/bin/reinstall_msedge_beta_mac.sh'
 318669899, 694, 1486, 1, 'b', 'playwright/driver/package/bin/reinstall_msedge_dev_linux.sh'
 318670593, 245, 372, 1, 'b', 'playwright/driver/package/bin/reinstall_msedge_dev_mac.sh'
 318670838, 693, 1504, 1, 'b', 'playwright/driver/package/bin/reinstall_msedge_stable_linux.sh'
 318671531, 244, 371, 1, 'b', 'playwright/driver/package/bin/reinstall_msedge_stable_mac.sh'
 318671775, 448, 713, 1, 'b', 'playwright/driver/package/cli.js'
 318672223, 7105, 25778, 1, 'b', 'playwright/driver/package/lib/utilsBundleImpl/xdg-open'
 318679328, 409964, 1437256, 1, 'x', 'base_library.zip'
 319089292, 910, 899, 1, 'x', 'lib/libsoftokn3.chk'
 319090202, 12, 4, 1, 'x', 'playwright-1.55.0.dist-info/INSTALLER'
 319090214, 1291, 3452, 1, 'x', 'playwright-1.55.0.dist-info/METADATA'
 319091505, 19253, 49259, 1, 'x', 'playwright-1.55.0.dist-info/RECORD'
 319110758, 8, 0, 1, 'x', 'playwright-1.55.0.dist-info/REQUESTED'
 319110766, 98, 91, 1, 'x', 'playwright-1.55.0.dist-info/WHEEL'
 319110864, 100, 130, 1, 'x', 'playwright-1.55.0.dist-info/entry_points.txt'
 319110964, 3976, 11399, 1, 'x', 'playwright-1.55.0.dist-info/licenses/LICENSE'
 319114940, 19, 11, 1, 'x', 'playwright-1.55.0.dist-info/top_level.txt'
 319114959, 498, 805, 1, 'x', 'playwright/__init__.py'
 319115457, 579, 1064, 1, 'x', 'playwright/__main__.py'
 319116036, 8, 0, 1, 'x', 'playwright/_impl/__init__.py'
 319116044, 445, 691, 1, 'x', 'playwright/_impl/__pyinstaller/__init__.py'
 319116489, 438, 695, 1, 'x', 'playwright/_impl/__pyinstaller/hook-playwright.async_api.py'
 319116927, 438, 695, 1, 'x', 'playwright/_impl/__pyinstaller/hook-playwright.sync_api.py'
 319117365, 928, 2392, 1, 'x', 'playwright/_impl/_accessibility.py'
 319118293, 2059, 6344, 1, 'x', 'playwright/_impl/_api_structures.py'
 319120352, 1008, 2702, 1, 'x', 'playwright/_impl/_artifact.py'
 319121360, 4096, 32959, 1, 'x', 'playwright/_impl/_assertions.py'
 319125456, 1140, 3242, 1, 'x', 'playwright/_impl/_async_base.py'
 319126596, 2547, 9846, 1, 'x', 'playwright/_impl/_browser.py'
 319129143, 6341, 28101, 1, 'x', 'playwright/_impl/_browser_context.py'
 319135484, 3736, 14061, 1, 'x', 'playwright/_impl/_browser_type.py'
 319139220, 682, 1371, 1, 'x', 'playwright/_impl/_cdp_session.py'
 319139902, 909, 3040, 1, 'x', 'playwright/_impl/_clock.py'
 319140811, 6017, 24163, 1, 'x', 'playwright/_impl/_connection.py'
 319146828, 935, 2389, 1, 'x', 'playwright/_impl/_console_message.py'
 319147763, 820, 1877, 1, 'x', 'playwright/_impl/_dialog.py'
 319148583, 805, 1977, 1, 'x', 'playwright/_impl/_download.py'
 319149388, 724, 1399, 1, 'x', 'playwright/_impl/_driver.py'
 319150112, 2887, 14514, 1, 'x', 'playwright/_impl/_element_handle.py'
 319152999, 766, 1761, 1, 'x', 'playwright/_impl/_errors.py'
 319153765, 552, 1044, 1, 'x', 'playwright/_impl/_event_context_manager.py'
 319154317, 3659, 18308, 1, 'x', 'playwright/_impl/_fetch.py'
 319157976, 811, 1859, 1, 'x', 'playwright/_impl/_file_chooser.py'
 319158787, 5013, 28210, 1, 'x', 'playwright/_impl/_frame.py'
 319163800, 872, 2234, 1, 'x', 'playwright/_impl/_glob.py'
 319164672, 658, 1410, 1, 'x', 'playwright/_impl/_greenlets.py'
 319165330, 1615, 4504, 1, 'x', 'playwright/_impl/_har_router.py'
 319166945, 6059, 19143, 1, 'x', 'playwright/_impl/_helper.py'
 319173004, 1455, 4866, 1, 'x', 'playwright/_impl/_impl_to_api_mapping.py'
 319174459, 900, 3753, 1, 'x', 'playwright/_impl/_input.py'
 319175359, 2697, 10159, 1, 'x', 'playwright/_impl/_js_handle.py'
 319178056, 969, 2616, 1, 'x', 'playwright/_impl/_json_pipe.py'
 319179025, 1234, 3354, 1, 'x', 'playwright/_impl/_local_utils.py'
 319180259, 4353, 29128, 1, 'x', 'playwright/_impl/_locator.py'
 319184612, 580, 1045, 1, 'x', 'playwright/_impl/_map.py'
 319185192, 7038, 35057, 1, 'x', 'playwright/_impl/_network.py'
 319192230, 1048, 4134, 1, 'x', 'playwright/_impl/_object_factory.py'
 319193278, 9482, 51126, 1, 'x', 'playwright/_impl/_page.py'
 319202760, 551, 958, 1, 'x', 'playwright/_impl/_path_utils.py'
 319203311, 843, 2091, 1, 'x', 'playwright/_impl/_playwright.py'
 319204154, 1028, 2636, 1, 'x', 'playwright/_impl/_selectors.py'
 319205182, 1824, 5502, 1, 'x', 'playwright/_impl/_set_input_files_helpers.py'
 319207006, 1059, 2403, 1, 'x', 'playwright/_impl/_str_utils.py'
 319208065, 767, 1673, 1, 'x', 'playwright/_impl/_stream.py'
 319208832, 1561, 4608, 1, 'x', 'playwright/_impl/_sync_base.py'
 319210393, 1447, 5134, 1, 'x', 'playwright/_impl/_tracing.py'
 319211840, 2126, 6227, 1, 'x', 'playwright/_impl/_transport.py'
 319213966, 974, 2629, 1, 'x', 'playwright/_impl/_video.py'
 319214940, 1645, 5637, 1, 'x', 'playwright/_impl/_waiter.py'
 319216585, 595, 1199, 1, 'x', 'playwright/_impl/_web_error.py'
 319217180, 776, 1472, 1, 'x', 'playwright/_impl/_writable_stream.py'
 319217956, 270, 513, 1, 'x', 'playwright/_repo_version.py'
 319218226, 1698, 5529, 1, 'x', 'playwright/async_api/__init__.py'
 319219924, 846, 2041, 1, 'x', 'playwright/async_api/_context_manager.py'
 319220770, 124948, 841104, 1, 'x', 'playwright/async_api/_generated.py'
 319345718, 23426, 142077, 1, 'x', 'playwright/driver/LICENSE'
 319369144, 57, 63, 1, 'x', 'playwright/driver/README.md'
 319369201, 66, 64, 1, 'x', 'playwright/driver/package/.local-browsers/.links/504837ff6426ab6ebfc555234d664a01dbf59f8d'
 319369267, 8, 0, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/DEPENDENCIES_VALIDATED'
 319369275, 8, 0, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/INSTALLATION_COMPLETE'
 319369283, 178, 238, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/MEIPreload/manifest.json'
 319369461, 6981, 8254, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/MEIPreload/preloaded_data.pb'
 319376442, 107, 122, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/PrivacySandboxAttestationsPreloaded/manifest.json'
 319376549, 2583, 7624, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/PrivacySandboxAttestationsPreloaded/privacy-sandbox-attestations.dat'
 319379132, 747524, 775905, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/chrome_100_percent.pak'
 320126656, 1235997, 1282992, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/chrome_200_percent.pak'
 321362653, 4578126, 10467680, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/icudtl.dat'
 325940779, 197907, 610887, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/af.pak'
 326138686, 135542, 1246717, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/af.pak.info'
 326274228, 18, 18, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/af_FEMININE.pak'
 326274246, 8, 0, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/af_FEMININE.pak.info'
 326274254, 18, 18, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/af_MASCULINE.pak'
 326274272, 8, 0, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/af_MASCULINE.pak.info'
 326274280, 18, 18, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/af_NEUTER.pak'
 326274298, 8, 0, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/af_NEUTER.pak.info'
 326274306, 238102, 983111, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/am.pak'
 326512408, 135542, 1246717, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/am.pak.info'
 326647950, 18, 18, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/am_FEMININE.pak'
 326647968, 8, 0, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/am_FEMININE.pak.info'
 326647976, 18, 18, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/am_MASCULINE.pak'
 326647994, 8, 0, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/am_MASCULINE.pak.info'
 326648002, 18, 18, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/am_NEUTER.pak'
 326648020, 8, 0, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/am_NEUTER.pak.info'
 326648028, 242797, 1086964, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/ar.pak'
 326890825, 135542, 1246717, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/ar.pak.info'
 327026367, 18, 18, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/ar_FEMININE.pak'
 327026385, 8, 0, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/ar_FEMININE.pak.info'
 327026393, 18, 18, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/ar_MASCULINE.pak'
 327026411, 8, 0, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/ar_MASCULINE.pak.info'
 327026419, 18, 18, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/ar_NEUTER.pak'
 327026437, 8, 0, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/ar_NEUTER.pak.info'
 327026445, 241678, 1120906, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/bg.pak'
 327268123, 135542, 1246717, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/bg.pak.info'
 327403665, 18, 18, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/bg_FEMININE.pak'
